service_id,date,exception_type
1,20250901,1
1,20250902,1
1,20250903,1
1,20250904,1
1,20250905,1
1,20250908,1
1,20250909,1
1,20250910,1
1,20250911,1
1,20250912,1
1,20250915,1
1,20250916,1
1,20250917,1
1,20250918,1
1,20250919,1
1,20250922,1
1,20250923,1
1,20250924,1
1,20250925,1
1,20250926,1
1,20250929,1
1,20250930,1
10,20250907,1
10,20250908,1
10,20250914,1
10,20250915,1
10,20250921,1
10,20250922,1
10,20250928,1
10,20250929,1
11,20250831,1
11,20250907,1
11,20250914,1
11,20250921,1
11,20250928,1
12,20250907,1
12,20250914,1
12,20250921,1
12,20250928,1
13,20250901,1
14,20250904,1
14,20250905,1
14,20250906,1
14,20250907,1
14,20250911,1
14,20250912,1
14,20250913,1
14,20250914,1
14,20250918,1
14,20250919,1
14,20250920,1
14,20250921,1
14,20250925,1
14,20250926,1
14,20250927,1
14,20250928,1
2,20250831,1
2,20250906,1
2,20250907,1
2,20250913,1
2,20250914,1
2,20250920,1
2,20250921,1
2,20250927,1
2,20250928,1
3,20250902,1
3,20250903,1
3,20250904,1
3,20250905,1
3,20250906,1
3,20250909,1
3,20250910,1
3,20250911,1
3,20250912,1
3,20250913,1
3,20250916,1
3,20250917,1
3,20250918,1
3,20250919,1
3,20250920,1
3,20250923,1
3,20250924,1
3,20250925,1
3,20250926,1
3,20250927,1
3,20250930,1
4,20250831,1
4,20250901,1
4,20250907,1
4,20250908,1
4,20250914,1
4,20250915,1
4,20250921,1
4,20250922,1
4,20250928,1
4,20250929,1
5,20250831,1
6,20250906,1
6,20250907,1
6,20250913,1
6,20250914,1
6,20250920,1
6,20250921,1
6,20250927,1
6,20250928,1
7,20250907,1
8,20250906,1
8,20250913,1
8,20250920,1
8,20250927,1
9,20250831,1
9,20250901,1
